Species: 1: 1. Tains Ants;  
Nations: 2: 1. First Nation;  2. Second Nation;  
Bases:   2: 1. Base, 500, 500;  2. Base, 510, 510;  
Tains Ants, First Nation, 17: 408, 362, 30
Tains Ants, First Nation, 18: 592, 638, 218
Tains Ants, First Nation, 19: 362, 362, 46
Tains Ants, First Nation, 20: 638, 592, 234
Tains Ants, First Nation, 21: 316, 408, 62
Tains Ants, First Nation, 22: 684, 546, 250
Tains Ants, First Nation, 23: 316, 454, 79
Tains Ants, First Nation, 24: 684, 500, 267
Tains Ants, First Nation, 25: 316, 500, 95
Tains Ants, First Nation, 26: 684, 454, 283
Tains Ants, First Nation, 27: 316, 546, 111
Tains Ants, First Nation, 28: 638, 408, 299
Tains Ants, First Nation, 29: 362, 592, 127
Tains Ants, First Nation, 30: 638, 362, 315
Tains Ants, First Nation, 31: 408, 638, 143
Tains Ants, First Nation, 32: 592, 362, 331
Tains Ants, First Nation, 33: 454, 684, 159
Tains Ants, First Nation, 34: 546, 316, 347
Tains Ants, First Nation, 35: 500, 684, 175
Tains Ants, First Nation, 36: 500, 316, 4
Tains Ants, First Nation, 37: 546, 684, 192
Tains Ants, First Nation, 38: 454, 316, 20
Tains Ants, First Nation, 39: 592, 684, 208
Tains Ants, First Nation, 40: 408, 362, 36
Tains Ants, First Nation, 41: 638, 638, 224
Tains Ants, First Nation, 42: 362, 408, 52
Tains Ants, First Nation, 43: 638, 592, 240
Tains Ants, First Nation, 44: 316, 454, 68
Tains Ants, First Nation, 45: 684, 546, 256
Tains Ants, First Nation, 46: 316, 500, 84
Tains Ants, First Nation, 47: 684, 500, 272
Tains Ants, First Nation, 48: 316, 546, 100
Tains Ants, First Nation, 49: 684, 454, 288
Tains Ants, First Nation, 50: 316, 592, 117
Tains Ants, Second Nation, 51: 648, 418, 305
Tains Ants, Second Nation, 52: 372, 648, 133
Tains Ants, Second Nation, 53: 648, 372, 321
Tains Ants, Second Nation, 54: 418, 648, 149
Tains Ants, Second Nation, 55: 602, 326, 337
Tains Ants, Second Nation, 56: 464, 694, 165
Tains Ants, Second Nation, 57: 510, 326, 353
Tains Ants, Second Nation, 58: 510, 694, 181
Tains Ants, Second Nation, 59: 464, 326, 9
Tains Ants, Second Nation, 60: 556, 694, 197
Tains Ants, Second Nation, 61: 418, 326, 25
Tains Ants, Second Nation, 62: 602, 648, 213
Tains Ants, Second Nation, 63: 372, 372, 41
Tains Ants, Second Nation, 64: 648, 648, 230
Tains Ants, Second Nation, 65: 372, 418, 58
Tains Ants, Second Nation, 66: 694, 602, 246
Tains Ants, Second Nation, 67: 326, 464, 74
Tains Ants, Second Nation, 68: 694, 556, 262
Tains Ants, Second Nation, 69: 326, 510, 90
Tains Ants, Second Nation, 70: 694, 464, 278
Tains Ants, Second Nation, 71: 326, 556, 106
Tains Ants, Second Nation, 72: 694, 418, 294
Tains Ants, Second Nation, 73: 372, 602, 122
Tains Ants, Second Nation, 74: 648, 372, 310
Tains Ants, Second Nation, 75: 372, 648, 138
Tains Ants, Second Nation, 76: 602, 372, 326
Tains Ants, Second Nation, 77: 418, 694, 155
Tains Ants, Second Nation, 78: 556, 326, 343
Tains Ants, Second Nation, 79: 464, 694, 171
Tains Ants, Second Nation, 80: 510, 326, 359
Tains Ants, Second Nation, 81: 510, 694, 187
Tains Ants, Second Nation, 82: 464, 326, 15
Tains Ants, Second Nation, 83: 602, 694, 203
Tains Ants, Second Nation, 84: 418, 372, 31
Tains Ants, Second Nation, 85: 648, 648, 219
Tains Ants, Second Nation, 86: 372, 372, 47
Tains Ants, Second Nation, 87: 648, 602, 235
Tains Ants, Second Nation, 88: 326, 418, 63
Tains Ants, Second Nation, 89: 694, 556, 251
Tains Ants, Second Nation, 90: 326, 464, 79
Tains Ants, Second Nation, 91: 694, 510, 268
Tains Ants, Second Nation, 92: 326, 510, 96
Tains Ants, Second Nation, 93: 694, 464, 284
Tains Ants, Second Nation, 94: 326, 556, 112
Tains Ants, Second Nation, 95: 648, 418, 300
Tains Ants, Second Nation, 96: 372, 602, 128
Tains Ants, Second Nation, 97: 648, 372, 316
Tains Ants, Second Nation, 98: 418, 648, 144
Tains Ants, Second Nation, 99: 602, 326, 332
Tains Ants, Second Nation, 100: 464, 694, 160
*********************
 Round, 47:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 688, 547, 261
Tains Ants, First Nation, 2: 312, 500, 89
Tains Ants, First Nation, 3: 688, 500, 277
Tains Ants, First Nation, 4: 312, 547, 105
Tains Ants, First Nation, 5: 688, 406, 293
Tains Ants, First Nation, 6: 359, 594, 121
Tains Ants, First Nation, 7: 641, 359, 309
Tains Ants, First Nation, 8: 359, 641, 137
Tains Ants, First Nation, 9: 594, 359, 326
Tains Ants, First Nation, 10: 406, 688, 154
Tains Ants, First Nation, 11: 547, 312, 342
Tains Ants, First Nation, 12: 453, 688, 170
Tains Ants, First Nation, 13: 500, 312, 358
Tains Ants, First Nation, 14: 500, 688, 186
Tains Ants, First Nation, 15: 453, 312, 14
Tains Ants, First Nation, 16: 547, 688, 202
Tains Ants, First Nation, 17: 406, 359, 30
Tains Ants, First Nation, 18: 594, 641, 218
Tains Ants, First Nation, 19: 359, 359, 46
Tains Ants, First Nation, 20: 641, 594, 234
Tains Ants, First Nation, 21: 312, 406, 62
Tains Ants, First Nation, 22: 688, 547, 250
Tains Ants, First Nation, 23: 312, 453, 79
Tains Ants, First Nation, 24: 688, 500, 267
Tains Ants, First Nation, 25: 312, 500, 95
Tains Ants, First Nation, 26: 688, 453, 283
Tains Ants, First Nation, 27: 312, 547, 111
Tains Ants, First Nation, 28: 641, 406, 299
Tains Ants, First Nation, 29: 359, 594, 127
Tains Ants, First Nation, 30: 641, 359, 315
Tains Ants, First Nation, 31: 406, 641, 143
Tains Ants, First Nation, 32: 594, 359, 331
Tains Ants, First Nation, 33: 453, 688, 159
Tains Ants, First Nation, 34: 547, 312, 347
Tains Ants, First Nation, 35: 500, 688, 175
Tains Ants, First Nation, 36: 500, 312, 4
Tains Ants, First Nation, 37: 547, 688, 192
Tains Ants, First Nation, 38: 453, 312, 20
Tains Ants, First Nation, 39: 594, 688, 208
Tains Ants, First Nation, 40: 406, 359, 36
Tains Ants, First Nation, 41: 641, 641, 224
Tains Ants, First Nation, 42: 359, 406, 52
Tains Ants, First Nation, 43: 641, 594, 240
Tains Ants, First Nation, 44: 312, 453, 68
Tains Ants, First Nation, 45: 688, 547, 256
Tains Ants, First Nation, 46: 312, 500, 84
Tains Ants, First Nation, 47: 688, 500, 272
Tains Ants, First Nation, 48: 312, 547, 100
Tains Ants, First Nation, 49: 688, 453, 288
Tains Ants, First Nation, 50: 312, 594, 117
Tains Ants, Second Nation, 51: 651, 416, 305
Tains Ants, Second Nation, 52: 369, 651, 133
Tains Ants, Second Nation, 53: 651, 369, 321
Tains Ants, Second Nation, 54: 416, 651, 149
Tains Ants, Second Nation, 55: 604, 322, 337
Tains Ants, Second Nation, 56: 463, 698, 165
Tains Ants, Second Nation, 57: 510, 322, 353
Tains Ants, Second Nation, 58: 510, 698, 181
Tains Ants, Second Nation, 59: 463, 322, 9
Tains Ants, Second Nation, 60: 557, 698, 197
Tains Ants, Second Nation, 61: 416, 322, 25
Tains Ants, Second Nation, 62: 604, 651, 213
Tains Ants, Second Nation, 63: 369, 369, 41
Tains Ants, Second Nation, 64: 651, 651, 230
Tains Ants, Second Nation, 65: 369, 416, 58
Tains Ants, Second Nation, 66: 698, 604, 246
Tains Ants, Second Nation, 67: 322, 463, 74
Tains Ants, Second Nation, 68: 698, 557, 262
Tains Ants, Second Nation, 69: 322, 510, 90
Tains Ants, Second Nation, 70: 698, 463, 278
Tains Ants, Second Nation, 71: 322, 557, 106
Tains Ants, Second Nation, 72: 698, 416, 294
Tains Ants, Second Nation, 73: 369, 604, 122
Tains Ants, Second Nation, 74: 651, 369, 310
Tains Ants, Second Nation, 75: 369, 651, 138
Tains Ants, Second Nation, 76: 604, 369, 326
Tains Ants, Second Nation, 77: 416, 698, 155
Tains Ants, Second Nation, 78: 557, 322, 343
Tains Ants, Second Nation, 79: 463, 698, 171
Tains Ants, Second Nation, 80: 510, 322, 359
Tains Ants, Second Nation, 81: 510, 698, 187
Tains Ants, Second Nation, 82: 463, 322, 15
Tains Ants, Second Nation, 83: 604, 698, 203
Tains Ants, Second Nation, 84: 416, 369, 31
Tains Ants, Second Nation, 85: 651, 651, 219
Tains Ants, Second Nation, 86: 369, 369, 47
Tains Ants, Second Nation, 87: 651, 604, 235
Tains Ants, Second Nation, 88: 322, 416, 63
Tains Ants, Second Nation, 89: 698, 557, 251
Tains Ants, Second Nation, 90: 322, 463, 79
Tains Ants, Second Nation, 91: 698, 510, 268
Tains Ants, Second Nation, 92: 322, 510, 96
Tains Ants, Second Nation, 93: 698, 463, 284
Tains Ants, Second Nation, 94: 322, 557, 112
Tains Ants, Second Nation, 95: 651, 416, 300
Tains Ants, Second Nation, 96: 369, 604, 128
Tains Ants, Second Nation, 97: 651, 369, 316
Tains Ants, Second Nation, 98: 416, 651, 144
Tains Ants, Second Nation, 99: 604, 322, 332
Tains Ants, Second Nation, 100: 463, 698, 160
*********************
 Round, 48:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 692, 548, 261
Tains Ants, First Nation, 2: 308, 500, 89
Tains Ants, First Nation, 3: 692, 500, 277
Tains Ants, First Nation, 4: 308, 548, 105
Tains Ants, First Nation, 5: 692, 404, 293
Tains Ants, First Nation, 6: 356, 596, 121
Tains Ants, First Nation, 7: 644, 356, 309
Tains Ants, First Nation, 8: 356, 644, 137
Tains Ants, First Nation, 9: 596, 356, 326
Tains Ants, First Nation, 10: 404, 692, 154
Tains Ants, First Nation, 11: 548, 308, 342
Tains Ants, First Nation, 12: 452, 692, 170
Tains Ants, First Nation, 13: 500, 308, 358
Tains Ants, First Nation, 14: 500, 692, 186
Tains Ants, First Nation, 15: 452, 308, 14
Tains Ants, First Nation, 16: 548, 692, 202
Tains Ants, First Nation, 17: 404, 356, 30
Tains Ants, First Nation, 18: 596, 644, 218
Tains Ants, First Nation, 19: 356, 356, 46
Tains Ants, First Nation, 20: 644, 596, 234
Tains Ants, First Nation, 21: 308, 404, 62
Tains Ants, First Nation, 22: 692, 548, 250
Tains Ants, First Nation, 23: 308, 452, 79
Tains Ants, First Nation, 24: 692, 500, 267
Tains Ants, First Nation, 25: 308, 500, 95
Tains Ants, First Nation, 26: 692, 452, 283
Tains Ants, First Nation, 27: 308, 548, 111
Tains Ants, First Nation, 28: 644, 404, 299
Tains Ants, First Nation, 29: 356, 596, 127
Tains Ants, First Nation, 30: 644, 356, 315
Tains Ants, First Nation, 31: 404, 644, 143
Tains Ants, First Nation, 32: 596, 356, 331
Tains Ants, First Nation, 33: 452, 692, 159
Tains Ants, First Nation, 34: 548, 308, 347
Tains Ants, First Nation, 35: 500, 692, 175
Tains Ants, First Nation, 36: 500, 308, 4
Tains Ants, First Nation, 37: 548, 692, 192
Tains Ants, First Nation, 38: 452, 308, 20
Tains Ants, First Nation, 39: 596, 692, 208
Tains Ants, First Nation, 40: 404, 356, 36
Tains Ants, First Nation, 41: 644, 644, 224
Tains Ants, First Nation, 42: 356, 404, 52
Tains Ants, First Nation, 43: 644, 596, 240
Tains Ants, First Nation, 44: 308, 452, 68
Tains Ants, First Nation, 45: 692, 548, 256
Tains Ants, First Nation, 46: 308, 500, 84
Tains Ants, First Nation, 47: 692, 500, 272
Tains Ants, First Nation, 48: 308, 548, 100
Tains Ants, First Nation, 49: 692, 452, 288
Tains Ants, First Nation, 50: 308, 596, 117
Tains Ants, Second Nation, 51: 654, 414, 305
Tains Ants, Second Nation, 52: 366, 654, 133
Tains Ants, Second Nation, 53: 654, 366, 321
Tains Ants, Second Nation, 54: 414, 654, 149
Tains Ants, Second Nation, 55: 606, 318, 337
Tains Ants, Second Nation, 56: 462, 702, 165
Tains Ants, Second Nation, 57: 510, 318, 353
Tains Ants, Second Nation, 58: 510, 702, 181
Tains Ants, Second Nation, 59: 462, 318, 9
Tains Ants, Second Nation, 60: 558, 702, 197
Tains Ants, Second Nation, 61: 414, 318, 25
Tains Ants, Second Nation, 62: 606, 654, 213
Tains Ants, Second Nation, 63: 366, 366, 41
Tains Ants, Second Nation, 64: 654, 654, 230
Tains Ants, Second Nation, 65: 366, 414, 58
Tains Ants, Second Nation, 66: 702, 606, 246
Tains Ants, Second Nation, 67: 318, 462, 74
Tains Ants, Second Nation, 68: 702, 558, 262
Tains Ants, Second Nation, 69: 318, 510, 90
Tains Ants, Second Nation, 70: 702, 462, 278
Tains Ants, Second Nation, 71: 318, 558, 106
Tains Ants, Second Nation, 72: 702, 414, 294
Tains Ants, Second Nation, 73: 366, 606, 122
Tains Ants, Second Nation, 74: 654, 366, 310
Tains Ants, Second Nation, 75: 366, 654, 138
Tains Ants, Second Nation, 76: 606, 366, 326
Tains Ants, Second Nation, 77: 414, 702, 155
Tains Ants, Second Nation, 78: 558, 318, 343
Tains Ants, Second Nation, 79: 462, 702, 171
Tains Ants, Second Nation, 80: 510, 318, 359
Tains Ants, Second Nation, 81: 510, 702, 187
Tains Ants, Second Nation, 82: 462, 318, 15
Tains Ants, Second Nation, 83: 606, 702, 203
Tains Ants, Second Nation, 84: 414, 366, 31
Tains Ants, Second Nation, 85: 654, 654, 219
Tains Ants, Second Nation, 86: 366, 366, 47
Tains Ants, Second Nation, 87: 654, 606, 235
Tains Ants, Second Nation, 88: 318, 414, 63
Tains Ants, Second Nation, 89: 702, 558, 251
Tains Ants, Second Nation, 90: 318, 462, 79
Tains Ants, Second Nation, 91: 702, 510, 268
Tains Ants, Second Nation, 92: 318, 510, 96
Tains Ants, Second Nation, 93: 702, 462, 284
Tains Ants, Second Nation, 94: 318, 558, 112
Tains Ants, Second Nation, 95: 654, 414, 300
Tains Ants, Second Nation, 96: 366, 606, 128
Tains Ants, Second Nation, 97: 654, 366, 316
Tains Ants, Second Nation, 98: 414, 654, 144
Tains Ants, Second Nation, 99: 606, 318, 332
Tains Ants, Second Nation, 100: 462, 702, 160
*********************
 Round, 49:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 696, 549, 261
Tains Ants, First Nation, 2: 304, 500, 89
Tains Ants, First Nation, 3: 696, 500, 277
Tains Ants, First Nation, 4: 304, 549, 105
Tains Ants, First Nation, 5: 696, 402, 293
Tains Ants, First Nation, 6: 353, 598, 121
Tains Ants, First Nation, 7: 647, 353, 309
Tains Ants, First Nation, 8: 353, 647, 137
Tains Ants, First Nation, 9: 598, 353, 326
Tains Ants, First Nation, 10: 402, 696, 154
Tains Ants, First Nation, 11: 549, 304, 342
Tains Ants, First Nation, 12: 451, 696, 170
Tains Ants, First Nation, 13: 500, 304, 358
Tains Ants, First Nation, 14: 500, 696, 186
Tains Ants, First Nation, 15: 451, 304, 14
Tains Ants, First Nation, 16: 549, 696, 202
Tains Ants, First Nation, 17: 402, 353, 30
Tains Ants, First Nation, 18: 598, 647, 218
Tains Ants, First Nation, 19: 353, 353, 46
Tains Ants, First Nation, 20: 647, 598, 234
Tains Ants, First Nation, 21: 304, 402, 62
Tains Ants, First Nation, 22: 696, 549, 250
Tains Ants, First Nation, 23: 304, 451, 79
Tains Ants, First Nation, 24: 696, 500, 267
Tains Ants, First Nation, 25: 304, 500, 95
Tains Ants, First Nation, 26: 696, 451, 283
Tains Ants, First Nation, 27: 304, 549, 111
Tains Ants, First Nation, 28: 647, 402, 299
Tains Ants, First Nation, 29: 353, 598, 127
Tains Ants, First Nation, 30: 647, 353, 315
Tains Ants, First Nation, 31: 402, 647, 143
Tains Ants, First Nation, 32: 598, 353, 331
Tains Ants, First Nation, 33: 451, 696, 159
Tains Ants, First Nation, 34: 549, 304, 347
Tains Ants, First Nation, 35: 500, 696, 175
Tains Ants, First Nation, 36: 500, 304, 4
Tains Ants, First Nation, 37: 549, 696, 192
Tains Ants, First Nation, 38: 451, 304, 20
Tains Ants, First Nation, 39: 598, 696, 208
Tains Ants, First Nation, 40: 402, 353, 36
Tains Ants, First Nation, 41: 647, 647, 224
Tains Ants, First Nation, 42: 353, 402, 52
Tains Ants, First Nation, 43: 647, 598, 240
Tains Ants, First Nation, 44: 304, 451, 68
Tains Ants, First Nation, 45: 696, 549, 256
Tains Ants, First Nation, 46: 304, 500, 84
Tains Ants, First Nation, 47: 696, 500, 272
Tains Ants, First Nation, 48: 304, 549, 100
Tains Ants, First Nation, 49: 696, 451, 288
Tains Ants, First Nation, 50: 304, 598, 117
Tains Ants, Second Nation, 51: 657, 412, 305
Tains Ants, Second Nation, 52: 363, 657, 133
Tains Ants, Second Nation, 53: 657, 363, 321
Tains Ants, Second Nation, 54: 412, 657, 149
Tains Ants, Second Nation, 55: 608, 314, 337
Tains Ants, Second Nation, 56: 461, 706, 165
Tains Ants, Second Nation, 57: 510, 314, 353
Tains Ants, Second Nation, 58: 510, 706, 181
Tains Ants, Second Nation, 59: 461, 314, 9
Tains Ants, Second Nation, 60: 559, 706, 197
Tains Ants, Second Nation, 61: 412, 314, 25
Tains Ants, Second Nation, 62: 608, 657, 213
Tains Ants, Second Nation, 63: 363, 363, 41
Tains Ants, Second Nation, 64: 657, 657, 230
Tains Ants, Second Nation, 65: 363, 412, 58
Tains Ants, Second Nation, 66: 706, 608, 246
Tains Ants, Second Nation, 67: 314, 461, 74
Tains Ants, Second Nation, 68: 706, 559, 262
Tains Ants, Second Nation, 69: 314, 510, 90
Tains Ants, Second Nation, 70: 706, 461, 278
Tains Ants, Second Nation, 71: 314, 559, 106
Tains Ants, Second Nation, 72: 706, 412, 294
Tains Ants, Second Nation, 73: 363, 608, 122
Tains Ants, Second Nation, 74: 657, 363, 310
Tains Ants, Second Nation, 75: 363, 657, 138
Tains Ants, Second Nation, 76: 608, 363, 326
Tains Ants, Second Nation, 77: 412, 706, 155
Tains Ants, Second Nation, 78: 559, 314, 343
Tains Ants, Second Nation, 79: 461, 706, 171
Tains Ants, Second Nation, 80: 510, 314, 359
Tains Ants, Second Nation, 81: 510, 706, 187
Tains Ants, Second Nation, 82: 461, 314, 15
Tains Ants, Second Nation, 83: 608, 706, 203
Tains Ants, Second Nation, 84: 412, 363, 31
Tains Ants, Second Nation, 85: 657, 657, 219
Tains Ants, Second Nation, 86: 363, 363, 47
Tains Ants, Second Nation, 87: 657, 608, 235
Tains Ants, Second Nation, 88: 314, 412, 63
Tains Ants, Second Nation, 89: 706, 559, 251
Tains Ants, Second Nation, 90: 314, 461, 79
Tains Ants, Second Nation, 91: 706, 510, 268
Tains Ants, Second Nation, 92: 314, 510, 96
Tains Ants, Second Nation, 93: 706, 461, 284
Tains Ants, Second Nation, 94: 314, 559, 112
Tains Ants, Second Nation, 95: 657, 412, 300
Tains Ants, Second Nation, 96: 363, 608, 128
Tains Ants, Second Nation, 97: 657, 363, 316
Tains Ants, Second Nation, 98: 412, 657, 144
Tains Ants, Second Nation, 99: 608, 314, 332
Tains Ants, Second Nation, 100: 461, 706, 160
*********************
 Round, 50:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 700, 550, 261
Tains Ants, First Nation, 2: 300, 500, 89
Tains Ants, First Nation, 3: 700, 500, 277
Tains Ants, First Nation, 4: 300, 550, 105
Tains Ants, First Nation, 5: 700, 400, 293
Tains Ants, First Nation, 6: 350, 600, 121
Tains Ants, First Nation, 7: 650, 350, 309
Tains Ants, First Nation, 8: 350, 650, 137
Tains Ants, First Nation, 9: 600, 350, 326
Tains Ants, First Nation, 10: 400, 700, 154
Tains Ants, First Nation, 11: 550, 300, 342
Tains Ants, First Nation, 12: 450, 700, 170
Tains Ants, First Nation, 13: 500, 300, 358
Tains Ants, First Nation, 14: 500, 700, 186
Tains Ants, First Nation, 15: 450, 300, 14
Tains Ants, First Nation, 16: 550, 700, 202
Tains Ants, First Nation, 17: 400, 350, 30
Tains Ants, First Nation, 18: 600, 650, 218
Tains Ants, First Nation, 19: 350, 350, 46
Tains Ants, First Nation, 20: 650, 600, 234
Tains Ants, First Nation, 21: 300, 400, 62
Tains Ants, First Nation, 22: 700, 550, 250
Tains Ants, First Nation, 23: 300, 450, 79
Tains Ants, First Nation, 24: 700, 500, 267
Tains Ants, First Nation, 25: 300, 500, 95
Tains Ants, First Nation, 26: 700, 450, 283
Tains Ants, First Nation, 27: 300, 550, 111
Tains Ants, First Nation, 28: 650, 400, 299
Tains Ants, First Nation, 29: 350, 600, 127
Tains Ants, First Nation, 30: 650, 350, 315
Tains Ants, First Nation, 31: 400, 650, 143
Tains Ants, First Nation, 32: 600, 350, 331
Tains Ants, First Nation, 33: 450, 700, 159
Tains Ants, First Nation, 34: 550, 300, 347
Tains Ants, First Nation, 35: 500, 700, 175
Tains Ants, First Nation, 36: 500, 300, 4
Tains Ants, First Nation, 37: 550, 700, 192
Tains Ants, First Nation, 38: 450, 300, 20
Tains Ants, First Nation, 39: 600, 700, 208
Tains Ants, First Nation, 40: 400, 350, 36
Tains Ants, First Nation, 41: 650, 650, 224
Tains Ants, First Nation, 42: 350, 400, 52
Tains Ants, First Nation, 43: 650, 600, 240
Tains Ants, First Nation, 44: 300, 450, 68
Tains Ants, First Nation, 45: 700, 550, 256
Tains Ants, First Nation, 46: 300, 500, 84
Tains Ants, First Nation, 47: 700, 500, 272
Tains Ants, First Nation, 48: 300, 550, 100
Tains Ants, First Nation, 49: 700, 450, 288
Tains Ants, First Nation, 50: 300, 600, 117
Tains Ants, Second Nation, 51: 660, 410, 305
Tains Ants, Second Nation, 52: 360, 660, 133
Tains Ants, Second Nation, 53: 660, 360, 321
Tains Ants, Second Nation, 54: 410, 660, 149
Tains Ants, Second Nation, 55: 610, 310, 337
Tains Ants, Second Nation, 56: 460, 710, 165
Tains Ants, Second Nation, 57: 510, 310, 353
Tains Ants, Second Nation, 58: 510, 710, 181
Tains Ants, Second Nation, 59: 460, 310, 9
Tains Ants, Second Nation, 60: 560, 710, 197
Tains Ants, Second Nation, 61: 410, 310, 25
Tains Ants, Second Nation, 62: 610, 660, 213
Tains Ants, Second Nation, 63: 360, 360, 41
Tains Ants, Second Nation, 64: 660, 660, 230
Tains Ants, Second Nation, 65: 360, 410, 58
Tains Ants, Second Nation, 66: 710, 610, 246
Tains Ants, Second Nation, 67: 310, 460, 74
Tains Ants, Second Nation, 68: 710, 560, 262
Tains Ants, Second Nation, 69: 310, 510, 90
Tains Ants, Second Nation, 70: 710, 460, 278
Tains Ants, Second Nation, 71: 310, 560, 106
Tains Ants, Second Nation, 72: 710, 410, 294
Tains Ants, Second Nation, 73: 360, 610, 122
Tains Ants, Second Nation, 74: 660, 360, 310
Tains Ants, Second Nation, 75: 360, 660, 138
Tains Ants, Second Nation, 76: 610, 360, 326
Tains Ants, Second Nation, 77: 410, 710, 155
Tains Ants, Second Nation, 78: 560, 310, 343
Tains Ants, Second Nation, 79: 460, 710, 171
Tains Ants, Second Nation, 80: 510, 310, 359
Tains Ants, Second Nation, 81: 510, 710, 187
Tains Ants, Second Nation, 82: 460, 310, 15
Tains Ants, Second Nation, 83: 610, 710, 203
Tains Ants, Second Nation, 84: 410, 360, 31
Tains Ants, Second Nation, 85: 660, 660, 219
Tains Ants, Second Nation, 86: 360, 360, 47
Tains Ants, Second Nation, 87: 660, 610, 235
Tains Ants, Second Nation, 88: 310, 410, 63
Tains Ants, Second Nation, 89: 710, 560, 251
Tains Ants, Second Nation, 90: 310, 460, 79
Tains Ants, Second Nation, 91: 710, 510, 268
Tains Ants, Second Nation, 92: 310, 510, 96
Tains Ants, Second Nation, 93: 710, 460, 284
Tains Ants, Second Nation, 94: 310, 560, 112
Tains Ants, Second Nation, 95: 660, 410, 300
Tains Ants, Second Nation, 96: 360, 610, 128
Tains Ants, Second Nation, 97: 660, 360, 316
Tains Ants, Second Nation, 98: 410, 660, 144
Tains Ants, Second Nation, 99: 610, 310, 332
Tains Ants, Second Nation, 100: 460, 710, 160
*********************
 Round, 51:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 704, 551, 261
Tains Ants, First Nation, 2: 296, 500, 89
Tains Ants, First Nation, 3: 704, 500, 277
Tains Ants, First Nation, 4: 296, 551, 105
Tains Ants, First Nation, 5: 704, 398, 293
Tains Ants, First Nation, 6: 347, 602, 121
Tains Ants, First Nation, 7: 653, 347, 309
Tains Ants, First Nation, 8: 347, 653, 137
Tains Ants, First Nation, 9: 602, 347, 326
Tains Ants, First Nation, 10: 398, 704, 154
Tains Ants, First Nation, 11: 551, 296, 342
Tains Ants, First Nation, 12: 449, 704, 170
Tains Ants, First Nation, 13: 500, 296, 358
Tains Ants, First Nation, 14: 500, 704, 186
Tains Ants, First Nation, 15: 449, 296, 14
Tains Ants, First Nation, 16: 551, 704, 202
Tains Ants, First Nation, 17: 398, 347, 30
Tains Ants, First Nation, 18: 602, 653, 218
Tains Ants, First Nation, 19: 347, 347, 46
Tains Ants, First Nation, 20: 653, 602, 234
Tains Ants, First Nation, 21: 296, 398, 62
Tains Ants, First Nation, 22: 704, 551, 250
Tains Ants, First Nation, 23: 296, 449, 79
Tains Ants, First Nation, 24: 704, 500, 267
Tains Ants, First Nation, 25: 296, 500, 95
Tains Ants, First Nation, 26: 704, 449, 283
Tains Ants, First Nation, 27: 296, 551, 111
Tains Ants, First Nation, 28: 653, 398, 299
Tains Ants, First Nation, 29: 347, 602, 127
Tains Ants, First Nation, 30: 653, 347, 315
Tains Ants, First Nation, 31: 398, 653, 143
Tains Ants, First Nation, 32: 602, 347, 331
Tains Ants, First Nation, 33: 449, 704, 159
Tains Ants, First Nation, 34: 551, 296, 347
Tains Ants, First Nation, 35: 500, 704, 175
Tains Ants, First Nation, 36: 500, 296, 4
Tains Ants, First Nation, 37: 551, 704, 192
Tains Ants, First Nation, 38: 449, 296, 20
Tains Ants, First Nation, 39: 602, 704, 208
Tains Ants, First Nation, 40: 398, 347, 36
Tains Ants, First Nation, 41: 653, 653, 224
Tains Ants, First Nation, 42: 347, 398, 52
Tains Ants, First Nation, 43: 653, 602, 240
Tains Ants, First Nation, 44: 296, 449, 68
Tains Ants, First Nation, 45: 704, 551, 256
Tains Ants, First Nation, 46: 296, 500, 84
Tains Ants, First Nation, 47: 704, 500, 272
Tains Ants, First Nation, 48: 296, 551, 100
Tains Ants, First Nation, 49: 704, 449, 288
Tains Ants, First Nation, 50: 296, 602, 117
Tains Ants, Second Nation, 51: 663, 408, 305
Tains Ants, Second Nation, 52: 357, 663, 133
Tains Ants, Second Nation, 53: 663, 357, 321
Tains Ants, Second Nation, 54: 408, 663, 149
Tains Ants, Second Nation, 55: 612, 306, 337
Tains Ants, Second Nation, 56: 459, 714, 165
Tains Ants, Second Nation, 57: 510, 306, 353
Tains Ants, Second Nation, 58: 510, 714, 181
Tains Ants, Second Nation, 59: 459, 306, 9
Tains Ants, Second Nation, 60: 561, 714, 197
Tains Ants, Second Nation, 61: 408, 306, 25
Tains Ants, Second Nation, 62: 612, 663, 213
Tains Ants, Second Nation, 63: 357, 357, 41
Tains Ants, Second Nation, 64: 663, 663, 230
Tains Ants, Second Nation, 65: 357, 408, 58
Tains Ants, Second Nation, 66: 714, 612, 246
Tains Ants, Second Nation, 67: 306, 459, 74
Tains Ants, Second Nation, 68: 714, 561, 262
Tains Ants, Second Nation, 69: 306, 510, 90
Tains Ants, Second Nation, 70: 714, 459, 278
Tains Ants, Second Nation, 71: 306, 561, 106
Tains Ants, Second Nation, 72: 714, 408, 294
Tains Ants, Second Nation, 73: 357, 612, 122
Tains Ants, Second Nation, 74: 663, 357, 310
Tains Ants, Second Nation, 75: 357, 663, 138
Tains Ants, Second Nation, 76: 612, 357, 326
Tains Ants, Second Nation, 77: 408, 714, 155
Tains Ants, Second Nation, 78: 561, 306, 343
Tains Ants, Second Nation, 79: 459, 714, 171
